District,Date,Calculated_NDVI
Bahawalpur,2020-05-05,0.053
Bahawalpur,2020-05-10,0.015
Bahawalpur,2020-05-15,0.043
Bahawalpur,2020-05-20,0.024
Bahawalpur,2020-05-25,0.049
Bahawalpur,2020-06-04,0.068
Bahawalpur,2020-06-09,0.03
Bahawalpur,2020-06-14,0.079
Bahawalpur,2020-06-19,0.05
Bahawalpur,2020-07-04,0.051
Bahawalpur,2020-07-09,0.036
Bahawalpur,2020-07-14,0.046
Bahawalpur,2020-07-19,0.053
Bahawalpur,2020-08-03,0.033
Bahawalpur,2020-08-13,0.034
Bahawalpur,2020-08-23,0.029
Bahawalpur,2020-09-07,0.016
Bahawalpur,2020-09-12,0.03
Bahawalpur,2020-09-17,0.032
Bahawalpur,2020-09-22,0.063
Bahawalpur,2020-09-27,0.071
Bahawalpur,2020-10-02,0.068
Bahawalpur,2020-10-12,0.059
Bahawalpur,2020-10-17,0.06
Bahawalpur,2020-10-22,0.084
Bahawalpur,2020-10-27,0.059
Bahawalpur,2020-11-01,0.087
Bahawalpur,2020-11-06,0.059
Bahawalpur,2020-11-21,0.056
Bahawalpur,2020-11-26,0.062
Bahawalpur,2020-12-01,0.048
Bahawalpur,2020-12-06,0.054
Bahawalpur,2020-12-16,0.078
Bahawalpur,2020-12-21,0.073
Bahawalpur,2021-01-25,0.079
Bahawalpur,2021-02-04,0.095
Bahawalpur,2021-02-19,0.003
Bahawalpur,2021-02-24,0.069
Bahawalpur,2021-03-01,0.07
Bahawalpur,2021-03-11,0.131
Bahawalpur,2021-03-21,0.085
Bahawalpur,2021-03-26,0.084
Bahawalpur,2021-03-31,0.085
Bahawalpur,2021-04-10,0.079
Bahawalpur,2021-04-25,0.073
Bahawalpur,2021-05-05,0.079
Bahawalpur,2021-05-15,0.074
Bahawalpur,2021-05-20,0.054
Bahawalpur,2021-05-25,0.043
Bahawalpur,2021-05-30,0.078
Bahawalpur,2021-06-04,0.052
Bahawalpur,2021-06-09,0.034
Bahawalpur,2021-06-19,0.055
Bahawalpur,2021-06-24,0.054
Bahawalpur,2021-06-29,0.074
Bahawalpur,2021-07-04,0.076
Bahawalpur,2021-08-03,0.065
Bahawalpur,2021-08-08,0.072
Bahawalpur,2021-08-13,0.097
Bahawalpur,2021-08-18,0.079
Bahawalpur,2021-08-23,0.074
Bahawalpur,2021-08-28,0.079
Bahawalpur,2021-09-02,-0.016
Bahawalpur,2021-09-07,0.036
Bahawalpur,2021-09-17,0.076
Bahawalpur,2021-09-27,0.028
Bahawalpur,2021-10-07,0.053
Bahawalpur,2021-10-12,0.113
Bahawalpur,2021-10-17,0.083
Bahawalpur,2021-10-22,0.046
Bahawalpur,2021-10-27,0.086
Bahawalpur,2021-11-01,0.065
Bahawalpur,2021-11-06,0.062
Bahawalpur,2021-11-11,0.052
Bahawalpur,2021-11-16,0.092
Bahawalpur,2021-11-21,0.057
Bahawalpur,2021-11-26,0.104
Bahawalpur,2021-12-01,0.092
Bahawalpur,2021-12-06,0.044
Bahawalpur,2021-12-11,0.093
Bahawalpur,2021-12-21,0.042
Bahawalpur,2022-01-10,0.056
Bahawalpur,2022-01-25,0.074
Bahawalpur,2022-01-30,0.074
Bahawalpur,2022-02-04,0.089
Bahawalpur,2022-02-09,0.11
Bahawalpur,2022-02-14,0.077
Bahawalpur,2022-02-19,0.096
Bahawalpur,2022-03-01,0.089
Bahawalpur,2022-03-11,0.07
Bahawalpur,2022-03-16,0.124
Bahawalpur,2022-03-21,0.088
Bahawalpur,2022-03-26,0.113
Bahawalpur,2022-03-31,0.078
Bahawalpur,2022-04-05,0.066
Bahawalpur,2022-04-10,0.066
Bahawalpur,2022-04-15,0.083
Bahawalpur,2022-04-20,0.104
Bahawalpur,2022-04-25,0.11
Bahawalpur,2022-04-30,0.098
Bahawalpur,2022-05-05,0.109
Bahawalpur,2022-05-10,0.06
Bahawalpur,2022-05-15,0.072
Bahawalpur,2022-05-20,0.087
Bahawalpur,2022-05-25,0.062
Bahawalpur,2022-05-30,0.097
Bahawalpur,2022-06-04,0.076
Bahawalpur,2022-06-09,0.067
Bahawalpur,2022-06-14,0.061
Bahawalpur,2022-06-24,0.054
Bahawalpur,2022-06-29,0.073
Bahawalpur,2022-07-19,0.022
Bahawalpur,2022-09-02,0.067
Bahawalpur,2022-09-07,0.081
Bahawalpur,2022-09-12,0.072
Bahawalpur,2022-09-17,0.071
Bahawalpur,2022-09-22,0.062
Bahawalpur,2022-09-27,0.067
Bahawalpur,2022-10-02,0.05
Bahawalpur,2022-10-07,0.086
Bahawalpur,2022-10-12,0.059
Bahawalpur,2022-10-17,0.061
Bahawalpur,2022-10-22,0.059
Bahawalpur,2022-10-27,0.045
Bahawalpur,2022-11-01,0.059
Bahawalpur,2022-11-11,0.035
Bahawalpur,2022-11-16,0.083
Bahawalpur,2022-12-01,0.116
Bahawalpur,2022-12-06,0.082
