district,year,area (000 acres),production (000 tons),yield (mds/acre),area (000 hectares),yield (kg/hectare),source_file
BAHAWALPUR DIV:,2020-21,517.0,16193.96,783.0,209.21,77395.0,Final Kharif Estimates 2020-2021
Bahawalnagar,2020-21,35.0,1048.6,749.0,14.16,74034.0,Final Kharif Estimates 2020-2021
Bahawalpur,2020-21,52.0,1574.56,757.0,21.04,74825.0,Final Kharif Estimates 2020-2021
Bhakkar,2020-21,80.0,2089.6,653.0,32.37,64545.0,Final Kharif Estimates 2020-2021
Chiniot,2020-21,112.0,3570.56,797.0,45.32,78779.0,Final Kharif Estimates 2020-2021
D.G. KHAN DIV:,2020-21,301.0,9488.92,788.0,121.8,77889.0,Final Kharif Estimates 2020-2021
D.G. Khan,2020-21,22.0,595.76,677.0,8.9,66917.0,Final Kharif Estimates 2020-2021
FAISALABAD DIV:,2020-21,561.0,16468.92,734.0,227.04,72551.0,Final Kharif Estimates 2020-2021
Faisalabad,2020-21,213.0,6364.44,747.0,86.22,73836.0,Final Kharif Estimates 2020-2021
GUJRANWALA DIV:,2020-21,88.0,2132.24,606.0,35.61,59899.0,Final Kharif Estimates 2020-2021
Gujranwala,2020-21,3.0,71.04,592.0,1.21,58516.0,Final Kharif Estimates 2020-2021
Gujrat,2020-21,7.0,127.12,454.0,2.83,44875.0,Final Kharif Estimates 2020-2021
Hafizabad,2020-21,13.0,351.0,675.0,5.26,66720.0,Final Kharif Estimates 2020-2021
Jhang,2020-21,152.0,4097.92,674.0,61.51,66621.0,Final Kharif Estimates 2020-2021
Kasur,2020-21,53.0,1371.64,647.0,21.45,63952.0,Final Kharif Estimates 2020-2021
Khanewal,2020-21,16.0,387.84,606.0,6.47,59899.0,Final Kharif Estimates 2020-2021
Khushab,2020-21,16.0,401.92,628.0,6.47,62074.0,Final Kharif Estimates 2020-2021
LAHORE DIV:,2020-21,85.0,2221.88,653.0,34.4,64545.0,Final Kharif Estimates 2020-2021
Lahore,2020-21,2.0,52.0,650.0,0.81,64249.0,Final Kharif Estimates 2020-2021
Layyah,2020-21,44.0,1189.76,676.0,17.81,66819.0,Final Kharif Estimates 2020-2021
Lodhran,2020-21,12.0,334.08,696.0,4.86,68795.0,Final Kharif Estimates 2020-2021
M.B. Din,2020-21,56.0,1391.04,621.0,22.67,61382.0,Final Kharif Estimates 2020-2021
MULTAN DIV:,2020-21,76.0,2128.08,700.0,30.76,69191.0,Final Kharif Estimates 2020-2021
Mianwali,2020-21,11.0,299.2,680.0,4.45,67214.0,Final Kharif Estimates 2020-2021
Multan,2020-21,6.0,162.96,679.0,2.43,67115.0,Final Kharif Estimates 2020-2021
Muzaffargarh,2020-21,125.0,3695.0,739.0,50.58,73046.0,Final Kharif Estimates 2020-2021
Nankana Sahib,2020-21,24.0,640.32,667.0,9.71,65929.0,Final Kharif Estimates 2020-2021
Narowal,2020-21,4.0,67.04,419.0,1.62,41416.0,Final Kharif Estimates 2020-2021
Okara,2020-21,25.0,623.0,623.0,10.12,61580.0,Final Kharif Estimates 2020-2021
PUNJAB,2020-21,1920.0,57000.2,742.0,776.98,73342.0,Final Kharif Estimates 2020-2021
Pakpattan,2020-21,4.0,99.04,619.0,1.62,61184.0,Final Kharif Estimates 2020-2021
Rahim Yar Khan,2020-21,430.0,13570.8,789.0,174.01,77988.0,Final Kharif Estimates 2020-2021
Rajan Pur,2020-21,110.0,4008.4,911.0,44.51,90047.0,Final Kharif Estimates 2020-2021
SAHIWAL DIV:,2020-21,37.0,934.2,631.0,14.98,62371.0,Final Kharif Estimates 2020-2021
SARGODHA DIV:,2020-21,255.0,7432.0,729.0,103.18,72057.0,Final Kharif Estimates 2020-2021
Sahiwal,2020-21,8.0,212.16,663.0,3.24,65534.0,Final Kharif Estimates 2020-2021
Sargodha,2020-21,148.0,4641.28,784.0,59.89,77494.0,Final Kharif Estimates 2020-2021
Sheikhupura,2020-21,6.0,157.92,658.0,2.43,65039.0,Final Kharif Estimates 2020-2021
Sialkot,2020-21,5.0,125.0,625.0,2.02,61778.0,Final Kharif Estimates 2020-2021
T.T. Singh,2020-21,84.0,2436.0,725.0,33.99,71662.0,Final Kharif Estimates 2020-2021
Vehari,2020-21,42.0,1243.2,740.0,17.0,73145.0,Final Kharif Estimates 2020-2021
BAHAWALPUR DIV:,2021-22,587.0,,849.0,237.54,,Final Kharif Estimates 2021-22
Bahawalnagar,2021-22,36.0,,673.0,14.57,,Final Kharif Estimates 2021-22
Bahawalpur,2021-22,60.0,,649.0,24.28,,Final Kharif Estimates 2021-22
Bhakkar,2021-22,87.0,,734.0,35.21,,Final Kharif Estimates 2021-22
Chiniot,2021-22,120.0,,750.0,48.56,,Final Kharif Estimates 2021-22
D.G. Khan,2021-22,25.0,,770.0,10.12,,Final Kharif Estimates 2021-22
D.G.KHAN DIV:,2021-22,334.0,,754.0,135.17,,Final Kharif Estimates 2021-22
FAISALABAD DIV:,2021-22,620.0,,723.0,250.9,,Final Kharif Estimates 2021-22
Faisalabad,2021-22,230.0,,691.0,93.08,,Final Kharif Estimates 2021-22
GUJRANWALA DIV:,2021-22,102.0,,544.0,,,Final Kharif Estimates 2021-22
Gujranwala,2021-22,3.0,,586.0,1.21,,Final Kharif Estimates 2021-22
Gujranwala DIV:,2021-22,,,,41.27,,Final Kharif Estimates 2021-22
Gujrat,2021-22,8.0,,424.0,3.24,,Final Kharif Estimates 2021-22
Hafizabad,2021-22,16.0,,607.0,6.47,,Final Kharif Estimates 2021-22
Jhang,2021-22,174.0,,769.0,70.41,,Final Kharif Estimates 2021-22
Kasur,2021-22,60.0,,568.0,24.28,,Final Kharif Estimates 2021-22
Khanewal,2021-22,18.0,,700.0,7.28,,Final Kharif Estimates 2021-22
Khushab,2021-22,18.0,,592.0,7.28,,Final Kharif Estimates 2021-22
LAHORE DIV:,2021-22,95.0,,591.0,38.45,,Final Kharif Estimates 2021-22
Lahore,2021-22,2.0,,617.0,0.81,,Final Kharif Estimates 2021-22
Layyah,2021-22,44.0,,645.0,17.81,,Final Kharif Estimates 2021-22
Lodhran,2021-22,12.0,,760.0,4.86,,Final Kharif Estimates 2021-22
M.B.Din,2021-22,65.0,,552.0,26.3,,Final Kharif Estimates 2021-22
MULTAN DIV:,2021-22,85.0,,705.0,34.4,,Final Kharif Estimates 2021-22
Mianwali,2021-22,13.0,,679.0,5.26,,Final Kharif Estimates 2021-22
Multan,2021-22,10.0,,675.0,4.05,,Final Kharif Estimates 2021-22
Muzaffargarh,2021-22,,,733.0,52.61,,Final Kharif Estimates 2021-22
